Home Team,Away Team,Home Score,Away Score,Margin
Duke,Miami,7,52,-45
Duke,UNC,21,24,-3
Duke,UVA,7,38,-31
Duke,VT,0,45,-45
Miami,UNC,34,16,18
Miami,UVA,25,17,8
Miami,VT,27,7,20
UNC,UVA,7,5,2
UNC,VT,3,30,-27
UVA,VT,14,52,-38
