Team,Rating,O Rating,D Rating,Rank,,,,Rank,Team,Rating,O Rating,D Rating
Arizona Cardinals,14.34375,20.88101478,-6.537264785,1,,,,1,Arizona Cardinals,14.34,20.88,-6.54
Tennessee Titans,10.78125,17.38309812,-6.601848118,2,,,,2,Tennessee Titans,10.78,17.38,-6.6
Tampa Bay Buccaneers,9.8125,16.51538978,-6.702889785,3,,,,3,Tampa Bay Buccaneers,9.81,16.52,-6.7
Los Angeles Rams,9.78125,16.43309812,-6.651848118,4,,,,4,Los Angeles Rams,9.78,16.43,-6.65
Dallas Cowboys,9.3125,16.01538978,-6.702889785,5,,,,5,Dallas Cowboys,9.31,16.02,-6.7
Green Bay Packers,7.375,14.66330645,-7.288306452,6,,,,6,Green Bay Packers,7.38,14.66,-7.29
Baltimore Ravens,5.96875,13.24351478,-7.274764785,7,,,,7,Baltimore Ravens,5.97,13.24,-7.27
New Orleans Saints,5.65625,13.02059812,-7.364348118,8,,,,8,New Orleans Saints,5.66,13.02,-7.36
Buffalo Bills,5.53125,13.57476478,-8.043514785,9,,,,9,Buffalo Bills,5.53,13.57,-8.04
Los Angeles Chargers,4.71875,12.41851478,-7.699764785,10,,,,10,Los Angeles Chargers,4.72,12.42,-7.7
Pittsburgh Steelers,4.015625,11.94195228,-7.926327285,11,,,,11,Pittsburgh Steelers,4.02,11.94,-7.93
Cleveland Browns,3.265625,11.31695228,-8.051327285,12,,,,12,Cleveland Browns,3.27,11.32,-8.05
Kansas City Chiefs,2.703125,10.96903562,-8.265910618,13,,,,13,Kansas City Chiefs,2.7,10.97,-8.27
Las Vegas Raiders,2.40625,11.01226478,-8.606014785,14,,,,14,Las Vegas Raiders,2.41,11.01,-8.61
Denver Broncos,2.0625,10.54038978,-8.477889785,15,,,,15,Denver Broncos,2.06,10.54,-8.48
New England Patriots,1.546875,10.42424395,-8.877368952,16,,,,16,New England Patriots,1.55,10.42,-8.88
Indianapolis Colts,0.65625,9.903931452,-9.247681452,17,,,,17,Indianapolis Colts,0.66,9.9,-9.25
Cincinnati Bengals,0.46875,9.710181452,-9.241431452,18,,,,18,Cincinnati Bengals,0.47,9.71,-9.24
Seattle Seahawks,4.19E-16,9.725806452,-9.725806452,19,,,,19,Seattle Seahawks,0,9.73,-9.73
Minnesota Vikings,-1.171875,9.081535618,-10.25341062,20,,,,20,Minnesota Vikings,-1.17,9.08,-10.25
San Francisco 49ers,-2.765625,8.367993952,-11.13361895,21,,,,21,San Francisco 49ers,-2.77,8.37,-11.13
Philadelphia Eagles,-4.53125,7.960181452,-12.49143145,22,,,,22,Philadelphia Eagles,-4.53,7.96,-12.49
Atlanta Falcons,-5.171875,7.931535618,-13.10341062,23,,,,23,Atlanta Falcons,-5.17,7.93,-13.1
Carolina Panthers,-5.265625,7.617993952,-12.88361895,24,,,,24,Carolina Panthers,-5.27,7.62,-12.88
New York Giants,-6.046875,7.444035618,-13.49091062,25,,,,25,New York Giants,-6.05,7.44,-13.49
Chicago Bears,-6.796875,7.285702285,-14.08257728,26,,,,26,Chicago Bears,-6.8,7.29,-14.08
Washington Football Team,-9.046875,6.827368952,-15.87424395,27,,,,27,Washington Football Team,-9.05,6.83,-15.87
Jacksonville Jaguars,-9.875,6.721639785,-16.59663978,28,,,,28,Jacksonville Jaguars,-9.87,6.72,-16.6
Miami Dolphins,-10.953125,6.640910618,-17.59403562,29,,,,29,Miami Dolphins,-10.95,6.64,-17.59
New York Jets,-11.71875,6.616431452,-18.33518145,30,,,,30,New York Jets,-11.72,6.62,-18.34
Houston Texans,-13.078125,6.511743952,-19.58986895,31,,,,31,Houston Texans,-13.08,6.51,-19.59
Detroit Lions,-13.984375,6.525285618,-20.50966062,32,,,,32,Detroit Lions,-13.98,6.53,-20.51